REGISTER_NAME	BN_NAME	BN_STATUS	BN_REG_DT	BN_CANCEL_DT	BN_RENEW_DT	BN_STATE_NUM	BN_STATE_OF_REG	BN_ABN
BUSINESS NAMES	Warby Wares	Deregistered	31/05/2015	12/10/2017	31/05/2017			48697696446
BUSINESS NAMES	SPLASH BUSINESS SOLUTIONS	Deregistered	01/06/2015	12/10/2017	01/06/2017			48968175734
BUSINESS NAMES	A to Zen Wellbeing	Deregistered	02/05/2016	15/09/2017	02/05/2017			83577206754
BUSINESS NAMES	oH my gooDnesS (organic vegan treats)	Deregistered	02/06/2015	27/06/2017	02/06/2018			96597952722
BUSINESS NAMES	AAA TURF AND GARDEN MAINTENANCE	Deregistered	02/06/2015	21/08/2017	02/06/2018			80896823016
BUSINESS NAMES	Drewz Brewz	Deregistered	04/06/2015	12/10/2017	04/06/2017			38560902316
BUSINESS NAMES	Corner Lane Cafe	Deregistered	03/06/2015	06/03/2017	03/06/2018			98101465249
BUSINESS NAMES	Healthy Kids Club Australia	Deregistered	03/06/2015	12/10/2017	03/06/2017			52168173457
BUSINESS NAMES	shade matters	Deregistered	02/06/2015	17/07/2017	02/06/2018			40931589931
BUSINESS NAMES	THE PRODUCER WORKS	Deregistered	02/06/2015	12/10/2017	02/06/2017			60722652788
BUSINESS NAMES	Healthy Dads Club Australia	Deregistered	04/06/2015	12/10/2017	04/06/2017			52168173457
BUSINESS NAMES	YCS Construction and Maintenance	Deregistered	02/06/2015	05/06/2017	02/06/2018			72723179779
BUSINESS NAMES	Healthy Families Club Australia	Deregistered	04/06/2015	12/10/2017	04/06/2017			52168173457
BUSINESS NAMES	Soul Origin Wintergarden	Deregistered	29/05/2015	06/03/2017	29/05/2018			93492041612
BUSINESS NAMES	 shaken not stirred beverage catering	Deregistered	01/06/2015	12/10/2017	01/06/2017			27401131429
BUSINESS NAMES	Electronic Security & Data Solutions	Deregistered	01/06/2015	12/10/2017	01/06/2017			13253118803
BUSINESS NAMES	SA-VIC TAILORED TOURS	Deregistered	03/06/2015	12/10/2017	03/06/2017			20226496370
BUSINESS NAMES	Passmore Driving School	Deregistered	03/06/2015	08/07/2017	03/06/2017			94128758289
BUSINESS NAMES	Axie Fins 'N' Things	Deregistered	02/06/2015	17/03/2017	02/06/2018			83454778861
BUSINESS NAMES	techs too you	Deregistered	03/06/2015	12/10/2017	03/06/2017			39116137076
